run,claim_id,memory_id,repeat_count,A1_q_use,A1_q_drop,A1_utility,A1_sign,A2_q_use,A2_q_drop,A2_utility,A2_sign,A3_q_use,A3_q_drop,A3_utility,A3_sign,direct_sign_flip,any_sign_heterogeneity,utility_range
rq3_fever_qwen3b_87_r4_seed0,101771,fever-train-144628,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,103451,fever-train-40777,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,106926,fever-train-70516,4,0.5,1.0,-0.5,negative,0.5,0.75,-0.25,negative,0.5,0.5,0.0,neutral,False,True,0.5
rq3_fever_qwen3b_87_r4_seed0,113150,fever-train-61369,4,0.25,0.25,0.0,neutral,0.25,0.25,0.0,neutral,0.25,0.0,0.25,positive,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,114495,fever-train-116681,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,117416,fever-train-57705,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,119219,fever-train-12718,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,121709,fever-train-95231,4,0.75,0.75,0.0,neutral,0.75,0.75,0.0,neutral,0.75,0.75,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,122673,fever-train-152891,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,124339,fever-train-50783,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,126878,fever-train-106672,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,128229,fever-train-73837,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,129932,fever-train-168773,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,13079,fever-train-153403,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,0.25,0.75,positive,False,True,0.75
rq3_fever_qwen3b_87_r4_seed0,136331,fever-train-160572,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,137334,fever-train-142574,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,141072,fever-train-51422,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,146669,fever-train-221841,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,148534,fever-train-179722,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,150834,fever-train-48138,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,1544,fever-train-102049,4,0.5,0.25,0.25,positive,0.5,0.0,0.5,positive,0.5,0.25,0.25,positive,False,False,0.25
rq3_fever_qwen3b_87_r4_seed0,162885,fever-train-77905,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,165663,fever-train-198473,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,166651,fever-train-53142,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,168530,fever-train-163288,4,0.5,0.75,-0.25,negative,0.5,0.75,-0.25,negative,0.5,1.0,-0.5,negative,False,False,0.25
rq3_fever_qwen3b_87_r4_seed0,173138,fever-train-226903,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,173719,fever-train-198119,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,174580,fever-train-212599,4,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,178168,fever-train-216051,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,181205,fever-train-182570,4,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,181624,fever-train-120255,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,181871,fever-train-114353,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,183619,fever-train-148145,4,0.0,0.25,-0.25,negative,0.0,0.5,-0.5,negative,0.0,0.5,-0.5,negative,False,False,0.25
rq3_fever_qwen3b_87_r4_seed0,185228,fever-train-81387,4,0.25,0.25,0.0,neutral,0.25,0.25,0.0,neutral,0.25,0.5,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,186590,fever-train-226081,4,0.0,0.0,0.0,neutral,0.0,0.25,-0.25,negative,0.0,0.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed0,186876,fever-train-49625,4,0.5,0.75,-0.25,negative,0.5,0.25,0.25,positive,0.5,0.25,0.25,positive,True,True,0.5
rq3_fever_qwen3b_87_r4_seed0,189436,fever-train-140521,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,195020,fever-train-200504,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,195031,fever-train-158862,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed0,195038,fever-train-219631,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
