run,claim_id,memory_id,repeat_count,A1_q_use,A1_q_drop,A1_utility,A1_sign,A2_q_use,A2_q_drop,A2_utility,A2_sign,A3_q_use,A3_q_drop,A3_utility,A3_sign,direct_sign_flip,any_sign_heterogeneity,utility_range
rq3_fever_qwen3b_87_r4_seed1000_retest,101771,fever-train-144628,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,103451,fever-train-40777,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,106926,fever-train-70516,4,0.75,1.0,-0.25,negative,0.75,0.75,0.0,neutral,0.75,1.0,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,113150,fever-train-61369,4,0.0,0.0,0.0,neutral,0.0,0.25,-0.25,negative,0.0,0.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,114495,fever-train-116681,4,0.0,0.25,-0.25,negative,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,117416,fever-train-57705,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,119219,fever-train-12718,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,121709,fever-train-95231,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,122673,fever-train-152891,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,124339,fever-train-50783,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,126878,fever-train-106672,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,128229,fever-train-73837,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,129932,fever-train-168773,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,13079,fever-train-153403,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,136331,fever-train-160572,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,137334,fever-train-142574,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,141072,fever-train-51422,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,146669,fever-train-221841,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,148534,fever-train-179722,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,150834,fever-train-48138,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,1544,fever-train-102049,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,162885,fever-train-77905,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,165663,fever-train-198473,4,0.25,0.0,0.25,positive,0.25,0.0,0.25,positive,0.25,0.0,0.25,positive,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,166651,fever-train-53142,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,168530,fever-train-163288,4,0.75,0.75,0.0,neutral,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,173138,fever-train-226903,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,173719,fever-train-198119,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,174580,fever-train-212599,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,178168,fever-train-216051,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,181205,fever-train-182570,4,0.75,0.75,0.0,neutral,0.75,1.0,-0.25,negative,0.75,0.75,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,181624,fever-train-120255,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,181871,fever-train-114353,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,183619,fever-train-148145,4,0.5,0.75,-0.25,negative,0.5,0.75,-0.25,negative,0.5,1.0,-0.5,negative,False,False,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,185228,fever-train-81387,4,0.5,0.0,0.5,positive,0.5,0.0,0.5,positive,0.5,0.0,0.5,positive,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,186590,fever-train-226081,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.25,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,186876,fever-train-49625,4,0.5,0.75,-0.25,negative,0.5,0.5,0.0,neutral,0.5,0.5,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,189436,fever-train-140521,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,195020,fever-train-200504,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,195031,fever-train-158862,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,195038,fever-train-219631,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,199413,fever-train-198119,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,199750,fever-train-169465,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,200387,fever-train-97793,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,203008,fever-train-198104,4,0.75,1.0,-0.25,negative,0.75,0.75,0.0,neutral,0.75,0.75,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,203701,fever-train-131517,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,204341,fever-train-30197,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,204342,fever-train-30197,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,206174,fever-train-47853,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,206737,fever-train-65342,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,207252,fever-train-118265,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,208150,fever-train-217428,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,0.5,0.5,positive,False,True,0.5
rq3_fever_qwen3b_87_r4_seed1000_retest,209872,fever-train-190903,4,1.0,0.5,0.5,positive,1.0,0.75,0.25,positive,1.0,0.25,0.75,positive,False,False,0.5
rq3_fever_qwen3b_87_r4_seed1000_retest,21145,fever-train-5847,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.25,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,212321,fever-train-2765,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,221085,fever-train-20978,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,226871,fever-train-32403,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,227135,fever-train-47032,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,229319,fever-train-199128,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,23885,fever-train-209237,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,24767,fever-train-48646,4,0.25,0.5,-0.25,negative,0.25,0.5,-0.25,negative,0.25,0.5,-0.25,negative,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,26132,fever-train-62870,4,0.75,0.5,0.25,positive,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,True,True,0.5
rq3_fever_qwen3b_87_r4_seed1000_retest,26300,fever-train-168557,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,28864,fever-train-76264,4,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,32820,fever-train-136052,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,34774,fever-train-43441,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,39897,fever-train-217401,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,42165,fever-train-67972,4,1.0,1.0,0.0,neutral,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,4529,fever-train-112175,4,0.25,0.0,0.25,positive,0.25,0.5,-0.25,negative,0.25,0.0,0.25,positive,True,True,0.5
rq3_fever_qwen3b_87_r4_seed1000_retest,50121,fever-train-96896,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,5454,fever-train-154510,4,1.0,0.75,0.25,positive,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,55976,fever-train-220539,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,56323,fever-train-220086,4,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,0.0,0.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,56361,fever-train-182122,4,0.75,1.0,-0.25,negative,0.75,0.75,0.0,neutral,0.75,1.0,-0.25,negative,False,True,0.25
rq3_fever_qwen3b_87_r4_seed1000_retest,64440,fever-train-201140,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,68502,fever-train-223115,4,0.75,0.5,0.25,positive,0.75,0.0,0.75,positive,0.75,0.75,0.0,neutral,False,True,0.75
rq3_fever_qwen3b_87_r4_seed1000_retest,69612,fever-train-136312,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,81499,fever-train-186229,4,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,1.0,0.75,0.25,positive,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,83197,fever-train-211510,4,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,86116,fever-train-64806,4,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,0.75,1.0,-0.25,negative,False,False,0.0
rq3_fever_qwen3b_87_r4_seed1000_retest,89544,fever-train-209237,4,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,1.0,1.0,0.0,neutral,False,False,0.0
